AÑO,CODIGO,PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROMEDIO
2006,3501,OLLUCO LARGO (SIN LAVAR/LAVADO),1.35,1.19,1.14,0.65,0.59,0.59,0.59,0.59,0.65,0.61,0.72,0.67,0.78
2006,3502,OLLUCO REDONDO (SIN LAVAR/LAVADO),1.11,0.86,0.71,0.55,0.49,0.48,0.5,0.52,0.56,0.55,0.66,0.6,0.63
2006,3601,OCA/AMARILLO/ROJO,,,,,,,0.65,,,,,,0.65
2006,3701,PALLAR SECO NACIONAL,2.97,2.04,,,,3.75,,2.9,,,1.87,1.18,2.45
2006,3702,PALLAR VERDE SERRUCHO/CACHITO,1.31,1.55,1.73,1.62,1.49,1.41,1.2,1.22,1.41,1.43,1.23,1.16,1.4
2006,3801,PAPA AMARILLA/TUBAY/TORNILLO/OTR,0.85,0.91,0.92,0.87,0.91,0.84,0.97,1.02,1.03,0.81,0.78,0.75,0.89
2006,3802,PAPA BLANCA/VALLE/OTROS,0.72,0.84,0.81,0.7,0.55,0.55,0.53,0.63,0.73,0.62,0.58,0.6,0.66
2006,3803,PAPA COLOR/VALLE/OTROS,0.75,0.82,0.82,0.71,0.58,0.61,0.59,0.61,0.64,0.56,0.51,0.5,0.64
2006,3804,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.75,0.73,0.82,0.73,0.69,0.68,0.72,0.84,0.88,0.82,0.85,0.8,0.78
2006,3806,PAPA HUAMANTANGA,,,,,,,,,0.91,,,,0.91
2006,3807,PAPA NEGRA ANDINA,,,,,,,,,0.88,,,,0.88
2006,3809,PAPA PERUANITA (INJERTO),,,,,,,,,0.92,,,,0.92
2006,3810,PAPA PERRICHOLI,,,,,,,,,0.63,,,,0.63
2006,3811,PAPA YUNGAY,,,,,,,,,0.92,,,,0.92
2006,3813,PAPA UNICA,,,,,,,,,0.65,,,,0.65
2006,3902,PAPA SECA MOLI.BLAN/HUAY/AMARI,2.3,2.5,2.3,2.5,,2.25,2.5,1.9,,,,,2.32
2006,4001,PEPINILLO,0.66,0.48,0.45,0.46,0.46,0.46,0.54,0.8,0.65,0.6,0.58,0.59,0.56
2006,4101,PEREJIL NACIONAL(CRIOLLO/SERRANO),1.19,1.3,1.46,1.32,1.29,1.15,0.97,1.15,1.29,1.22,1.02,1.14,1.21
2006,4201,PIMIENTO MORRON/INJERTO/RANGER,0.52,0.46,0.64,0.81,0.65,1.06,1.11,1.24,1.12,1.16,1.25,1.39,0.95
2006,4301,PORO (CRIOLLO/SERRANO),0.48,0.62,0.74,0.81,0.61,0.52,0.51,0.63,0.68,0.74,0.64,0.76,0.65
2006,4401,QUINUA PERLADA CHICA/GRANDE(LAV/PRO),2.9,,3.1,3,3,2.9,2.9,2.3,,,2.9,,2.88
2006,4403,QUINUA HARINA,3.1,,,2.9,,,3.1,,,,,,3.03
2006,4501,RABANITO (CRIOLLO/SERRANO),1.39,2.52,1.37,1.21,1.28,1.69,1.36,1.83,1.22,1.32,1.31,1.37,1.49
2006,4701,SOYA ENTERA,2.3,,,,,,1.9,,,,1.9,,2.03
2006,4702,SOYA MOLIDA (HARINA),,,,,,,,1.9,,,,,1.9
2006,4703,SOYA IMPORTADA,,,,,,,,1.2,,,,,1.2
2006,4801,TOMATE REDOND/CHEFF,,,,,0.74,,,1.2,1.15,,,,1.03
2006,4802,TOMATE MARZANO (CUADR-RT4/ITAL/RIO GRAN),1,1.07,1.56,1.6,1.19,1.39,1.6,1.38,1.16,1.15,1.34,1.12,1.3
2006,4805,TOMATE ORGANICO,,,,,1.84,,,,,1.1,1.13,,1.36
2006,4901,TRIGO MOTE S/CASCARA/HUARAZ/OTROS,2.3,1.5,1.9,1.7,,,,,,,1.7,,1.82
2006,4902,TRIGO MOTE C/CASCARA,,,,,,,,,,,1.7,,1.7
2006,4903,TRIGO RESBALADO (CORRIENTE/ESTAQUILLA),1.7,1.65,,1.6,,,1.7,,,,,,1.66
2006,4904,TRIGO PARTIDO/HARINA,,,,,,,,1.2,,,,,1.2
2006,5001,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,1.22,1.83,1.61,1.19,0.98,1.27,1.62,1.7,1.59,0.98,0.75,0.75,1.29
2006,5201,YUCA AMARILLA/LEGITIM/INJERTA(COS/SEL),0.68,0.66,0.66,0.67,0.56,0.49,0.47,0.48,0.55,0.56,0.57,0.58,0.58
2006,5202,YUCA BLANCA/LEGITIMO/INJERTA(COST/SELV),0.72,0.62,0.66,,,,,,,,,0.55,0.64
2006,5301,ZANAHORIA (CRIOLLA-SERRANA),0.33,0.33,0.38,0.47,0.51,0.46,0.42,0.45,0.41,0.38,0.49,0.56,0.43
2006,5401,ZAPALLO ITALIANO,0.45,0.51,0.53,0.66,0.58,0.64,0.47,0.49,0.43,0.47,0.45,0.63,0.53
2006,5402,ZAPALLO LOCHE,,1.08,2.77,,2.83,,2.77,1.38,1.3,1.14,1.34,1.39,1.78
2006,5403,ZAPALLO MACRE(COSTA/SIERRA/SELVA),0.48,0.58,0.79,1.02,0.53,0.4,0.45,0.65,0.68,0.65,0.51,0.55,0.61
2006,5404,ZAPALLO AVINCA,,0.95,0.95,1.1,0.63,0.55,,0.92,,,,,0.85
2006,5523,HIERBA LUISA,1.4,1.35,,,,,,,,,,,1.38
2006,5524,MANZANILLA,1.5,1.49,,,,,,,,,,,1.5
2006,5525,BERROS,1.07,,,,,,,,,,,,1.07
2006,7208,MANGO KENT(COSTA),,0.45,0.47,0.55,,,,,,,,,0.49
2006,7215,MANGO EDWARD PLANTA,1.13,0.96,0.98,,,,,,,,1.03,1.04,1.03
2006,7301,MANZANA DELICIA(COSTA),,,,0.83,,,1.38,,,,,,1.11
